"Designator","Val","Footprint","Mid X","Mid Y","Rotation","Layer",,
"D1","LED","LED_0402_1005Metric",75.485000,-58.200000,180.000000,top,,
"D2","LED","LED_0402_1005Metric",77.392500,-58.200000,0.000000,top,,
"D3","LED","LED_0402_1005Metric",79.300000,-58.200000,180.000000,top,,
"D4","LED","LED_0402_1005Metric",80.800000,-59.392500,-90.000000,top,,
"D5","LED","LED_0402_1005Metric",80.800000,-61.300000,90.000000,top,,
"D6","LED","LED_0402_1005Metric",80.800000,-63.207500,-90.000000,top,,
"D7","LED","LED_0402_1005Metric",80.800000,-65.485000,-90.000000,top,,
"D8","LED","LED_0402_1005Metric",80.800000,-67.392500,90.000000,top,,
"D9","LED","LED_0402_1005Metric",80.800000,-69.300000,-90.000000,top,,
"D10","LED","LED_0402_1005Metric",79.300000,-70.500000,180.000000,top,,
"D11","LED","LED_0402_1005Metric",77.392500,-70.500000,0.000000,top,,
"D12","LED","LED_0402_1005Metric",75.485000,-70.500000,180.000000,top,,
"D13","LED","LED_0402_1005Metric",74.000000,-69.300000,-90.000000,top,,
"D14","LED","LED_0402_1005Metric",74.000000,-67.392500,90.000000,top,,
"D15","LED","LED_0402_1005Metric",74.000000,-65.485000,-90.000000,top,,
"D16","LED","LED_0402_1005Metric",74.000000,-63.207500,-90.000000,top,,
"D17","LED","LED_0402_1005Metric",74.000000,-61.300000,90.000000,top,,
"D18","LED","LED_0402_1005Metric",74.000000,-59.392500,-90.000000,top,,
"D19","LED","LED_0402_1005Metric",75.485000,-64.292500,180.000000,top,,
"D20","LED","LED_0402_1005Metric",77.392500,-64.292500,0.000000,top,,
"D21","LED","LED_0402_1005Metric",79.300000,-64.292500,180.000000,top,,
"D22","LED","LED_0402_1005Metric",86.485000,-58.200000,180.000000,top,,
"D23","LED","LED_0402_1005Metric",88.392500,-58.200000,0.000000,top,,
"D24","LED","LED_0402_1005Metric",90.300000,-58.200000,180.000000,top,,
"D25","LED","LED_0402_1005Metric",91.800000,-59.392500,-90.000000,top,,
"D26","LED","LED_0402_1005Metric",91.800000,-61.300000,90.000000,top,,
"D27","LED","LED_0402_1005Metric",91.800000,-63.207500,-90.000000,top,,
"D28","LED","LED_0402_1005Metric",91.800000,-65.485000,-90.000000,top,,
"D29","LED","LED_0402_1005Metric",91.800000,-67.392500,90.000000,top,,
"D30","LED","LED_0402_1005Metric",91.800000,-69.300000,-90.000000,top,,
"D31","LED","LED_0402_1005Metric",90.300000,-70.500000,180.000000,top,,
"D32","LED","LED_0402_1005Metric",88.392500,-70.500000,0.000000,top,,
"D33","LED","LED_0402_1005Metric",86.485000,-70.500000,180.000000,top,,
"D34","LED","LED_0402_1005Metric",85.000000,-69.300000,-90.000000,top,,
"D35","LED","LED_0402_1005Metric",85.000000,-67.392500,90.000000,top,,
"D36","LED","LED_0402_1005Metric",85.000000,-65.485000,-90.000000,top,,
"D37","LED","LED_0402_1005Metric",85.000000,-63.207500,-90.000000,top,,
"D38","LED","LED_0402_1005Metric",85.000000,-61.300000,90.000000,top,,
"D39","LED","LED_0402_1005Metric",85.000000,-59.392500,-90.000000,top,,
"D40","LED","LED_0402_1005Metric",86.485000,-64.292500,180.000000,top,,
"D41","LED","LED_0402_1005Metric",88.392500,-64.292500,0.000000,top,,
"D42","LED","LED_0402_1005Metric",90.300000,-64.292500,180.000000,top,,
"D43","LED","LED_0402_1005Metric",97.485000,-58.200000,180.000000,top,,
"D44","LED","LED_0402_1005Metric",99.392500,-58.200000,0.000000,top,,
"D45","LED","LED_0402_1005Metric",101.300000,-58.200000,180.000000,top,,
"D46","LED","LED_0402_1005Metric",102.800000,-59.392500,-90.000000,top,,
"D47","LED","LED_0402_1005Metric",102.800000,-61.300000,90.000000,top,,
"D48","LED","LED_0402_1005Metric",102.800000,-63.207500,-90.000000,top,,
"D49","LED","LED_0402_1005Metric",102.800000,-65.485000,-90.000000,top,,
"D50","LED","LED_0402_1005Metric",102.800000,-67.392500,90.000000,top,,
"D51","LED","LED_0402_1005Metric",102.800000,-69.300000,-90.000000,top,,
"D52","LED","LED_0402_1005Metric",101.300000,-70.500000,180.000000,top,,
"D53","LED","LED_0402_1005Metric",99.392500,-70.500000,0.000000,top,,
"D54","LED","LED_0402_1005Metric",97.485000,-70.500000,180.000000,top,,
"D55","LED","LED_0402_1005Metric",96.000000,-69.300000,-90.000000,top,,
"D56","LED","LED_0402_1005Metric",96.000000,-67.392500,90.000000,top,,
"D57","LED","LED_0402_1005Metric",96.000000,-65.485000,-90.000000,top,,
"D58","LED","LED_0402_1005Metric",96.000000,-63.207500,-90.000000,top,,
"D59","LED","LED_0402_1005Metric",96.000000,-61.300000,90.000000,top,,
"D60","LED","LED_0402_1005Metric",96.000000,-59.392500,-90.000000,top,,
"D61","LED","LED_0402_1005Metric",97.485000,-64.292500,180.000000,top,,
"D62","LED","LED_0402_1005Metric",99.392500,-64.292500,0.000000,top,,
"D63","LED","LED_0402_1005Metric",101.300000,-64.292500,180.000000,top,,
"D64","LED","LED_0402_1005Metric",108.485000,-58.200000,180.000000,top,,
"D65","LED","LED_0402_1005Metric",110.392500,-58.200000,0.000000,top,,
"D66","LED","LED_0402_1005Metric",112.300000,-58.200000,180.000000,top,,
"D67","LED","LED_0402_1005Metric",113.800000,-59.392500,-90.000000,top,,
"D68","LED","LED_0402_1005Metric",113.800000,-61.300000,90.000000,top,,
"D69","LED","LED_0402_1005Metric",113.800000,-63.207500,-90.000000,top,,
"D70","LED","LED_0402_1005Metric",113.800000,-65.485000,-90.000000,top,,
"D71","LED","LED_0402_1005Metric",113.800000,-67.392500,90.000000,top,,
"D72","LED","LED_0402_1005Metric",113.800000,-69.300000,-90.000000,top,,
"D73","LED","LED_0402_1005Metric",112.300000,-70.500000,180.000000,top,,
"D74","LED","LED_0402_1005Metric",110.392500,-70.500000,0.000000,top,,
"D75","LED","LED_0402_1005Metric",108.485000,-70.500000,180.000000,top,,
"D76","LED","LED_0402_1005Metric",107.000000,-69.300000,-90.000000,top,,
"D77","LED","LED_0402_1005Metric",107.000000,-67.392500,90.000000,top,,
"D78","LED","LED_0402_1005Metric",107.000000,-65.485000,-90.000000,top,,
"D79","LED","LED_0402_1005Metric",107.000000,-63.207500,-90.000000,top,,
"D80","LED","LED_0402_1005Metric",107.000000,-61.300000,90.000000,top,,
"D81","LED","LED_0402_1005Metric",107.000000,-59.392500,-90.000000,top,,
"D82","LED","LED_0402_1005Metric",108.485000,-64.292500,180.000000,top,,
"D83","LED","LED_0402_1005Metric",110.392500,-64.292500,0.000000,top,,
"D84","LED","LED_0402_1005Metric",112.300000,-64.292500,180.000000,top,,
"R1","22R","R_0402_1005Metric",74.750000,-57.000000,180.000000,top,,
"R2","22R","R_0402_1005Metric",81.800000,-63.700000,-90.000000,top,,
"R3","22R","R_0402_1005Metric",81.800000,-70.000000,-90.000000,top,,
"R4","22R","R_0402_1005Metric",74.800000,-71.500000,180.000000,top,,
"R5","22R","R_0402_1005Metric",73.000000,-64.900000,90.000000,top,,
"R6","22R","R_0402_1005Metric",73.000000,-58.000000,90.000000,top,,
"R7","22R","R_0402_1005Metric",75.500000,-65.300000,180.000000,top,,
"R8","22R","R_0402_1005Metric",85.750000,-57.000000,180.000000,top,,
"R9","22R","R_0402_1005Metric",92.800000,-63.700000,-90.000000,top,,
"R10","22R","R_0402_1005Metric",92.800000,-70.000000,-90.000000,top,,
"R11","22R","R_0402_1005Metric",85.800000,-71.500000,180.000000,top,,
"R12","22R","R_0402_1005Metric",84.000000,-64.900000,90.000000,top,,
"R13","22R","R_0402_1005Metric",84.000000,-58.000000,90.000000,top,,
"R14","22R","R_0402_1005Metric",86.500000,-65.300000,180.000000,top,,
"R15","22R","R_0402_1005Metric",96.750000,-57.000000,180.000000,top,,
"R16","22R","R_0402_1005Metric",103.800000,-63.700000,-90.000000,top,,
"R17","22R","R_0402_1005Metric",103.800000,-70.000000,-90.000000,top,,
"R18","22R","R_0402_1005Metric",96.800000,-71.500000,180.000000,top,,
"R19","22R","R_0402_1005Metric",95.000000,-64.900000,90.000000,top,,
"R20","22R","R_0402_1005Metric",95.000000,-58.000000,90.000000,top,,
"R21","22R","R_0402_1005Metric",97.500000,-65.300000,180.000000,top,,
"R22","22R","R_0402_1005Metric",107.750000,-57.000000,180.000000,top,,
"R23","22R","R_0402_1005Metric",114.800000,-63.700000,-90.000000,top,,
"R24","22R","R_0402_1005Metric",114.800000,-70.000000,-90.000000,top,,
"R25","22R","R_0402_1005Metric",107.800000,-71.500000,180.000000,top,,
"R26","22R","R_0402_1005Metric",106.000000,-64.900000,90.000000,top,,
"R27","22R","R_0402_1005Metric",106.000000,-58.000000,90.000000,top,,
"R28","22R","R_0402_1005Metric",108.500000,-65.300000,180.000000,top,,
